Topic,Difficulty,QuestionType,Question,OptionA,OptionB,OptionC,OptionD,MatchingPairs,CorrectAnswer,Explanation
Introduction,Easy,Fill-in-the-Blank,Anatomy is the study of the _______ of individual body parts.,,,,,,structure|form|Structure|Form,Anatomy examines physical structure.
Introduction,Easy,True/False,Physiology is the study of how the body does things.,,,,,,True,Physiology studies function.
Introduction,Easy,Multiple Choice,Which type studies structures visible to naked eye?,Microscopic,Molecular,Gross,Cellular,,C,Gross anatomy studies visible structures.
Introduction,Easy,Fill-in-the-Blank,The study of structures too small to see is _______ anatomy.,,,,,,microscopic|Microscopic,Requires magnification.
Introduction,Easy,True/False,Anatomy and physiology can be completely separated.,,,,,,False,Structure and function are connected.
Introduction,Medium,Multiple Choice,Form drives function means:,Function determines structure,Structure determines function,Unrelated,Only function matters,,B,Structure determines capabilities.
Introduction,Medium,Fill-in-the-Blank,Understanding physiology requires understanding _______ structure and chemistry.,,,,,,cell|cellular|Cell|Cellular,Foundation of physiology.
Introduction,Medium,True/False,Courses focus on variations rather than common physiology.,,,,,,False,Focus on commonly known physiology.
Introduction,Hard,True/False,Anatomical variation is fairly common within species.,,,,,,True,Despite same building blocks.
Introduction,Hard,Multiple Choice,Why does anatomical variation exist?,Environment only,Genetics only,Genetic and developmental variations,All identical,,C,Multiple factors create variation.
Introduction,Hard,Fill-in-the-Blank,_______ predicts _______.,,,,,,form predicts function|structure predicts function|Form predicts function|Structure predicts function,Core A&P principle.
Introduction,Easy,Matching,Match terms to definitions.,,,,,Microscopic Anatomy|Gross Anatomy|Physiology::Structures too small to see|Structures visible to naked eye|How body does things,"Microscopic Anatomy-Structures too small to see, Gross Anatomy-Structures visible to naked eye, Physiology-How body does things",Foundational definitions.
Introduction,Medium,True/False,We approach the body using a systems-based approach.,,,,,,True,Study one system at a time.
Introduction,Easy,Fill-in-the-Blank,Study of form is _______ and study of function is _______.,,,,,,anatomy and physiology|Anatomy and Physiology,Two complementary disciplines.
Introduction,Easy,True/False,Understanding anatomical terminology is required for Lab 1.,,,,,,True,Provides essential language.
Introduction,Medium,Multiple Choice,Form drives function explains why:,Organs look same,Shape is random,Structure determines how used,No relationship,,C,Fundamental principle.
Introduction,Hard,Fill-in-the-Blank,Shovel-shaped incisors are common in _______ and _______ populations.,,,,,,Asian and Native American|asian and native american,Example of variation.
Introduction,Easy,True/False,All humans are internally identical apart from sex organs.,,,,,,False,Variation exists.
