Topic,Difficulty,QuestionType,Question,OptionA,OptionB,OptionC,OptionD,MatchingPairs,CorrectAnswer,Explanation
Elements,Easy,Fill-in-the-Blank,Atoms come together to form _______.,,,,,,molecules|Molecules,Atoms bond to create molecules.
Elements,Easy,Fill-in-the-Blank,Elements come together to form _______.,,,,,,compounds|Compounds,Elements combine to make compounds.
Elements,Easy,Multiple Choice,Which element is necessary for respiration and ATP generation?,Carbon,Oxygen,Nitrogen,Hydrogen,,B,Oxygen is essential for cellular respiration.
Elements,Easy,True/False,Carbon is a building block for all macromolecules.,,,,,,True,"Carbon forms the backbone of DNA, proteins, carbohydrates, and lipids."
Elements,Easy,Multiple Choice,Calcium plays important roles in:,Respiration only,Bone formation and homeostasis,Only muscle contraction,Only nerve signals,,B,Calcium is critical for bone structure and regulation.
Elements,Medium,Fill-in-the-Blank,"Potassium, sodium, and chlorine are present in electrically excitable cells such as _______ and _______.",,,,,,muscles and neurons|Muscles and neurons,These ions are essential for electrical signaling.
Elements,Medium,True/False,Iodine is involved in thyroid hormone synthesis.,,,,,,True,Iodine is a key component of thyroid hormones.
Elements,Medium,Multiple Choice,Elements are:,Smallest living units,Smallest units of matter with individual properties,Always combined,Only found in organic molecules,,B,Elements are fundamental units with unique properties.
Elements,Hard,Fill-in-the-Blank,"The most common elements in the human body include oxygen, carbon, hydrogen, nitrogen, calcium, and _______.",,,,,,phosphorus|Phosphorus,These six elements comprise most of body mass.
Elements,Hard,True/False,All elements are equally abundant in the human body.,,,,,,False,Some elements are much more abundant than others though all have important roles.
Elements,Easy,Matching,Match each element to its role.,,,,,Oxygen|Carbon|Calcium::Respiration and ATP generation|Building blocks for macromolecules|Bone homeostasis,"Oxygen-Respiration and ATP generation, Carbon-Building blocks for macromolecules, Calcium-Bone homeostasis",Each element has specific physiological roles.
Elements,Medium,Multiple Choice,Which atoms account for the majority of atoms in the human organism?,Carbon nitrogen oxygen iodine,Carbon nitrogen sodium chlorine,Carbon oxygen calcium potassium,Carbon oxygen hydrogen nitrogen,,D,"C, O, H, and N are the most abundant atoms."
Elements,Easy,True/False,Sodium and chlorine are involved in electrical excitability.,,,,,,True,These ions generate electrical signals in neurons and muscles.
Elements,Medium,Fill-in-the-Blank,Elements are the smallest building blocks of _______.,,,,,,life|Life,All living matter is composed of elements.
Chemical Bonds,Easy,Multiple Choice,Which forms the strongest bond?,Ionic bonds,Covalent bonds,Hydrogen bonds,Van der Waals forces,,B,Covalent bonds with shared electrons are strongest.
Chemical Bonds,Easy,True/False,Hydrogen bonds are fairly weak bonds.,,,,,,True,Hydrogen bonds are weak compared to covalent and ionic bonds.
Chemical Bonds,Easy,Fill-in-the-Blank,Ionic bonds form between oppositely _______ molecules.,,,,,,charged|Charged,Attraction between opposite charges creates ionic bonds.
Chemical Bonds,Easy,Multiple Choice,Covalent bonds are characterized by:,Opposite charges,Shared electrons,Weak attraction,Only in water,,B,Covalent bonds share electrons between atoms.
Chemical Bonds,Medium,Matching,Match each bond type to its characteristics.,,,,,Ionic bonds|Covalent bonds|Hydrogen bonds::Between oppositely charged molecules|Highly stable bonds with shared electrons|Weak bonds type of electro-attractive force,"Ionic bonds-Between oppositely charged molecules, Covalent bonds-Highly stable bonds with shared electrons, Hydrogen bonds-Weak bonds type of electro-attractive force",Each bond type has distinct properties.
Chemical Bonds,Medium,True/False,Hydrogen bonds are a type of electro-attractive force.,,,,,,True,Hydrogen bonds form when oppositely charged molecules are pulled together.
Chemical Bonds,Medium,Fill-in-the-Blank,The strongest type of chemical bond is the _______ bond.,,,,,,covalent|Covalent,Covalent bonds are most stable.
Chemical Bonds,Medium,Multiple Choice,Electro-attractive forces occur when:,Two molecules repel,Two molecules with opposite charges are pulled together,Electrons are shared equally,Only in gases,,B,Opposite charges attract creating electro-attractive forces.
Chemical Bonds,Hard,Fill-in-the-Blank,Everything in the body is made of huge networks of atoms held together by chemical _______.,,,,,,bonds|Bonds,Bonds connect atoms to form all body structures.
Chemical Bonds,Hard,True/False,All chemical bonds have the same strength.,,,,,,False,Bond strengths vary: covalent > ionic > hydrogen bonds.
Chemical Bonds,Easy,Multiple Choice,Hydrogen bonds are most commonly seen in:,Metals,Water,Gases only,Salts,,B,Water extensively uses hydrogen bonding.
Chemical Bonds,Medium,True/False,Ionic bonds involve transfer of electrons.,,,,,,True,One atom gives electrons to another creating charged ions.
Organic vs Inorganic,Easy,Multiple Choice,Inorganic molecules:,Contain many carbons,Do not contain carbon,Are always gases,Cannot form bonds,,B,Inorganic molecules lack carbon.
Organic vs Inorganic,Easy,True/False,Organic molecules contain many carbons.,,,,,,True,Organic molecules are carbon-based.
Organic vs Inorganic,Easy,Fill-in-the-Blank,_______ molecules do not have large amounts of carbon.,,,,,,Inorganic|inorganic,Inorganic molecules lack carbon.
Organic vs Inorganic,Medium,Multiple Choice,Which is an inorganic molecule?,Glucose,Protein,Water,DNA,,C,Water lacks carbon making it inorganic.
Organic vs Inorganic,Medium,True/False,The human body contains both organic and inorganic molecules.,,,,,,True,Both types are essential for life.
Organic vs Inorganic,Medium,Fill-in-the-Blank,Molecules that contain many carbons are called _______ molecules.,,,,,,organic|Organic,Carbon-containing molecules are organic.
Organic vs Inorganic,Hard,Multiple Choice,A famous influencer was found full of inorganic molecules. Is this evidence of poisoning?,Yes definitely poisoning,No inorganic molecules are normal in the body,Only if over 50%,Depends on the specific molecule,,B,Inorganic molecules like water and minerals are normal and essential.
Organic vs Inorganic,Hard,True/False,All inorganic molecules are toxic.,,,,,,False,Many inorganic molecules like water and minerals are essential.
Organic vs Inorganic,Easy,Fill-in-the-Blank,What makes a molecule organic? It contains many _______.,,,,,,carbons|carbon|Carbons|Carbon,Carbon content defines organic molecules.
Water,Easy,True/False,Water is the most important inorganic molecule in the body.,,,,,,True,Water is essential for virtually all body functions.
Water,Easy,Multiple Choice,Water has a pH of:,5,7,9,14,,B,Water is neutral with pH 7.
Water,Easy,Fill-in-the-Blank,Polar molecules have _______ charge distribution.,,,,,,unequal|Unequal,Charge is not evenly distributed in polar molecules.
Water,Easy,True/False,Water is a polar molecule.,,,,,,True,Water has unequal charge distribution.
Water,Easy,Multiple Choice,Cohesion refers to:,Water dissolving ions,Water molecules resisting pulling apart,Water releasing heat,Water forming gases,,B,Cohesion is the association of water molecules.
Water,Medium,Fill-in-the-Blank,The distribution of charge across a molecule is called _______.,,,,,,polarity|Polarity,Polarity describes charge distribution.
Water,Medium,True/False,In water electrons tend to move from hydrogen toward oxygen.,,,,,,True,Oxygen is more electronegative than hydrogen.
Water,Medium,Multiple Choice,The ability of water to dissolve and separate ions is called:,Cohesion,Polarity,Solvency,Reactivity,,C,Solvency is water's dissolving ability.
Water,Medium,Fill-in-the-Blank,A solution is a mixture that has the exact same _______ throughout.,,,,,,composition|Composition,Solutions are homogeneous mixtures.
Water,Medium,True/False,Like dissolves like means water dissolves other polar compounds.,,,,,,True,Polar water dissolves polar substances.
Water,Hard,Multiple Choice,Hydration spheres:,Are water molecules only,Orient partial charges toward oppositely charged ions,Only form in acidic solutions,Prevent dissolution,,B,Partial negative charges orient toward positive ions and vice versa.
Water,Hard,Fill-in-the-Blank,Hydration spheres promote _______ of differently charged ions.,,,,,,separation|Separation,Water surrounds and separates ions.
Water,Hard,True/False,Water can only dissolve ionic compounds.,,,,,,False,Water dissolves many polar compounds not just ionic.
Water,Easy,Fill-in-the-Blank,In a solution a _______ is dissolved in a _______.,,,,,,solute is dissolved in a solvent|Solute is dissolved in a solvent,Solute dissolves in solvent.
Water,Easy,Multiple Choice,The solvent is:,Minority of solution,Majority of solution,Always water,The dissolved substance,,B,Solvent is what everything is suspended in.
