Topic,Difficulty,QuestionType,Question,OptionA,OptionB,OptionC,OptionD,MatchingPairs,CorrectAnswer,Explanation
DNA/RNA,Easy,True/False,DNA/RNA question 1,,,,,,True,DNA/RNA explanation
DNA/RNA,Medium,Fill-in-the-Blank,DNA/RNA fill-in 2,,,,,,answer,DNA/RNA detail
DNA/RNA,Hard,Multiple Choice,DNA/RNA MC 3,A,B,C,D,,B,DNA/RNA reasoning
DNA/RNA,Easy,True/False,DNA/RNA question 4,,,,,,True,DNA/RNA explanation
DNA/RNA,Medium,Fill-in-the-Blank,DNA/RNA fill-in 5,,,,,,answer,DNA/RNA detail
DNA/RNA,Hard,Multiple Choice,DNA/RNA MC 6,A,B,C,D,,B,DNA/RNA reasoning
DNA/RNA,Easy,True/False,DNA/RNA question 7,,,,,,True,DNA/RNA explanation
DNA/RNA,Medium,Fill-in-the-Blank,DNA/RNA fill-in 8,,,,,,answer,DNA/RNA detail
DNA/RNA,Hard,Multiple Choice,DNA/RNA MC 9,A,B,C,D,,B,DNA/RNA reasoning
DNA/RNA,Easy,True/False,DNA/RNA question 10,,,,,,True,DNA/RNA explanation
DNA/RNA,Medium,Fill-in-the-Blank,DNA/RNA fill-in 11,,,,,,answer,DNA/RNA detail
DNA/RNA,Hard,Multiple Choice,DNA/RNA MC 12,A,B,C,D,,B,DNA/RNA reasoning
DNA/RNA,Easy,True/False,DNA/RNA question 13,,,,,,True,DNA/RNA explanation
DNA/RNA,Medium,Fill-in-the-Blank,DNA/RNA fill-in 14,,,,,,answer,DNA/RNA detail
DNA/RNA,Hard,Multiple Choice,DNA/RNA MC 15,A,B,C,D,,B,DNA/RNA reasoning
DNA/RNA,Easy,True/False,DNA/RNA question 16,,,,,,True,DNA/RNA explanation
DNA/RNA,Medium,Fill-in-the-Blank,DNA/RNA fill-in 17,,,,,,answer,DNA/RNA detail
DNA/RNA,Hard,Multiple Choice,DNA/RNA MC 18,A,B,C,D,,B,DNA/RNA reasoning
DNA/RNA,Easy,True/False,DNA/RNA question 19,,,,,,True,DNA/RNA explanation
DNA/RNA,Medium,Fill-in-the-Blank,DNA/RNA fill-in 20,,,,,,answer,DNA/RNA detail
DNA/RNA,Hard,Multiple Choice,DNA/RNA MC 21,A,B,C,D,,B,DNA/RNA reasoning
DNA/RNA,Easy,True/False,DNA/RNA question 22,,,,,,True,DNA/RNA explanation
DNA/RNA,Medium,Fill-in-the-Blank,DNA/RNA fill-in 23,,,,,,answer,DNA/RNA detail
DNA/RNA,Hard,Multiple Choice,DNA/RNA MC 24,A,B,C,D,,B,DNA/RNA reasoning
DNA/RNA,Easy,True/False,DNA/RNA question 25,,,,,,True,DNA/RNA explanation
DNA/RNA,Medium,Fill-in-the-Blank,DNA/RNA fill-in 26,,,,,,answer,DNA/RNA detail
DNA/RNA,Hard,Multiple Choice,DNA/RNA MC 27,A,B,C,D,,B,DNA/RNA reasoning
DNA/RNA,Easy,True/False,DNA/RNA question 28,,,,,,True,DNA/RNA explanation
DNA/RNA,Medium,Fill-in-the-Blank,DNA/RNA fill-in 29,,,,,,answer,DNA/RNA detail
DNA/RNA,Hard,Multiple Choice,DNA/RNA MC 30,A,B,C,D,,B,DNA/RNA reasoning
Transcription,Easy,True/False,Transcription question 1,,,,,,True,Transcription explanation
Transcription,Medium,Fill-in-the-Blank,Transcription fill-in 2,,,,,,answer,Transcription detail
Transcription,Hard,Multiple Choice,Transcription MC 3,A,B,C,D,,B,Transcription reasoning
Transcription,Easy,True/False,Transcription question 4,,,,,,True,Transcription explanation
Transcription,Medium,Fill-in-the-Blank,Transcription fill-in 5,,,,,,answer,Transcription detail
Transcription,Hard,Multiple Choice,Transcription MC 6,A,B,C,D,,B,Transcription reasoning
Transcription,Easy,True/False,Transcription question 7,,,,,,True,Transcription explanation
Transcription,Medium,Fill-in-the-Blank,Transcription fill-in 8,,,,,,answer,Transcription detail
Transcription,Hard,Multiple Choice,Transcription MC 9,A,B,C,D,,B,Transcription reasoning
Transcription,Easy,True/False,Transcription question 10,,,,,,True,Transcription explanation
Transcription,Medium,Fill-in-the-Blank,Transcription fill-in 11,,,,,,answer,Transcription detail
Transcription,Hard,Multiple Choice,Transcription MC 12,A,B,C,D,,B,Transcription reasoning
Transcription,Easy,True/False,Transcription question 13,,,,,,True,Transcription explanation
Transcription,Medium,Fill-in-the-Blank,Transcription fill-in 14,,,,,,answer,Transcription detail
Transcription,Hard,Multiple Choice,Transcription MC 15,A,B,C,D,,B,Transcription reasoning
Transcription,Easy,True/False,Transcription question 16,,,,,,True,Transcription explanation
Transcription,Medium,Fill-in-the-Blank,Transcription fill-in 17,,,,,,answer,Transcription detail
Transcription,Hard,Multiple Choice,Transcription MC 18,A,B,C,D,,B,Transcription reasoning
Transcription,Easy,True/False,Transcription question 19,,,,,,True,Transcription explanation
Transcription,Medium,Fill-in-the-Blank,Transcription fill-in 20,,,,,,answer,Transcription detail
Transcription,Hard,Multiple Choice,Transcription MC 21,A,B,C,D,,B,Transcription reasoning
Transcription,Easy,True/False,Transcription question 22,,,,,,True,Transcription explanation
Transcription,Medium,Fill-in-the-Blank,Transcription fill-in 23,,,,,,answer,Transcription detail
Transcription,Hard,Multiple Choice,Transcription MC 24,A,B,C,D,,B,Transcription reasoning
Transcription,Easy,True/False,Transcription question 25,,,,,,True,Transcription explanation
Translation,Easy,True/False,Translation question 1,,,,,,True,Translation explanation
Translation,Medium,Fill-in-the-Blank,Translation fill-in 2,,,,,,answer,Translation detail
Translation,Hard,Multiple Choice,Translation MC 3,A,B,C,D,,B,Translation reasoning
Translation,Easy,True/False,Translation question 4,,,,,,True,Translation explanation
Translation,Medium,Fill-in-the-Blank,Translation fill-in 5,,,,,,answer,Translation detail
Translation,Hard,Multiple Choice,Translation MC 6,A,B,C,D,,B,Translation reasoning
Translation,Easy,True/False,Translation question 7,,,,,,True,Translation explanation
Translation,Medium,Fill-in-the-Blank,Translation fill-in 8,,,,,,answer,Translation detail
Translation,Hard,Multiple Choice,Translation MC 9,A,B,C,D,,B,Translation reasoning
Translation,Easy,True/False,Translation question 10,,,,,,True,Translation explanation
Translation,Medium,Fill-in-the-Blank,Translation fill-in 11,,,,,,answer,Translation detail
Translation,Hard,Multiple Choice,Translation MC 12,A,B,C,D,,B,Translation reasoning
Translation,Easy,True/False,Translation question 13,,,,,,True,Translation explanation
